Experiment commencing at 2024-07-12T17:26:50.827438
2024-07-12 17:27:10.322645 PressureTestState 5.33
2024-07-12 17:27:10.363622 PressureTestState 138.46
2024-07-12 17:27:10.400600 PressureTestState 70.45
2024-07-12 17:27:10.433582 PressureTestState 0.45
2024-07-12 17:27:10.470560 PressureTestState 21.27
2024-07-12 17:27:10.505541 PressureTestState 9.71
2024-07-12 17:27:10.543518 PressureTestState 8.47
2024-07-12 17:27:10.580497 PressureTestState 2.61
2024-07-12 17:27:10.613478 PressureTestState 0.7
2024-07-12 17:27:10.652456 PressureTestState 188.64
2024-07-12 17:27:10.701428 PressureTestState 8.72
2024-07-12 17:27:10.740407 PressureTestState 20.87
2024-07-12 17:27:10.783401 PressureTestState 14.77
2024-07-12 17:27:10.824359 PressureTestState 6.67
2024-07-12 17:27:10.863336 PressureTestState 6.67
2024-07-12 17:27:10.905312 PressureTestState 10.44
2024-07-12 17:27:10.944291 PressureTestState 11.93
2024-07-12 17:27:10.989265 PressureTestState 75.0
2024-07-12 17:27:11.026244 PressureTestState 2.94
2024-07-12 17:27:11.065221 PressureTestState 52.38
2024-07-12 17:27:11.111214 PressureTestState 15.73
2024-07-12 17:27:11.150173 PressureTestState 9.77
2024-07-12 17:27:11.218140 PressureTestState 5.04
2024-07-12 17:27:11.264106 PressureTestState 9.73
2024-07-12 17:27:11.302084 PressureTestState 4.69
2024-07-12 17:27:11.343063 PressureTestState 75.0
2024-07-12 17:27:11.383039 PressureTestState 19.51
2024-07-12 17:27:11.416021 PressureTestState 100.0
2024-07-12 17:27:11.454998 PressureTestState 2.11
2024-07-12 17:27:11.492975 PressureTestState 1.92
2024-07-12 17:27:11.528955 PressureTestState 3.13
2024-07-12 17:27:11.564934 PressureTestState 8.05
2024-07-12 17:27:11.602913 PressureTestState 33.33
2024-07-12 17:27:11.641890 PressureTestState 10.27
2024-07-12 17:27:11.679868 PressureTestState 25.58
2024-07-12 17:27:11.731839 PressureTestState 11.29
2024-07-12 17:27:11.770816 PressureTestState 11.39
2024-07-12 17:27:11.812811 PressureTestState 5.88
2024-07-12 17:27:11.854772 PressureTestState 4.35
2024-07-12 17:27:11.901742 PressureTestState 25.81
2024-07-12 17:27:11.940719 PressureTestState 2.63
2024-07-12 17:27:11.981696 PressureTestState 1.05
2024-07-12 17:27:12.028669 PressureTestState 4.35
2024-07-12 17:27:12.068646 PressureTestState 166.67
2024-07-12 17:27:12.115621 PressureTestState 130.0
2024-07-12 17:27:12.155596 PressureTestState 2.9
2024-07-12 17:27:12.223558 PressureTestState 18.04
2024-07-12 17:27:12.264534 PressureTestState 22.08
2024-07-12 17:27:12.304511 PressureTestState 6.67
2024-07-12 17:27:12.343490 PressureTestState 42.42
2024-07-12 17:27:12.379469 PressureTestState 8.0
2024-07-12 17:27:12.422444 PressureTestState 175.0
2024-07-12 17:27:12.462439 PressureTestState 21.59
2024-07-12 17:27:12.502399 PressureTestState 2.63
2024-07-12 17:27:12.540376 PressureTestState 5.67
2024-07-12 17:27:12.576358 PressureTestState 19.23
2024-07-12 17:27:12.625330 PressureTestState 75.86
2024-07-12 17:27:12.672301 PressureTestState 6.06
2024-07-12 17:27:12.712279 PressureTestState 37.5
2024-07-12 17:27:12.752256 PressureTestState 6.36
2024-07-12 17:27:12.792243 PressureTestState 7.69
2024-07-12 17:27:12.836210 PressureTestState 12.79
2024-07-12 17:27:12.875186 PressureTestState 1.28
2024-07-12 17:27:12.916162 PressureTestState 76.32
2024-07-12 17:27:12.958138 PressureTestState 21.81
2024-07-12 17:27:12.995117 PressureTestState 55.0
